TARGET_CLM_FLAG,TARGET_CLM_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,NPOLICY,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,5162,0,39,1,,18362,Yes,0,No,M,e_No_High School,Blue Collar,34,Commercial,26550,7,2,Panel Truck,no,8673,3,No,4,1,Highly Urban/ Urban
0,,0,51,0,9,112674,No,312871,Yes,F,c_Bachelors,Blue Collar,59,Private,12770,6,1,SUV,no,0,0,Yes,0,9,Highly Rural/ Rural
1,1593,0,48,0,12,60281,No,,No,F,d_High School,Blue Collar,31,Commercial,12090,6,1,SUV,no,10024,2,No,2,1,Highly Urban/ Urban
0,,0,35,0,6,,No,152065,Yes,F,d_High School,Clerical,41,Private,11290,1,4,SUV,no,0,0,No,0,6,Highly Urban/ Urban
1,4002,0,48,0,12,,No,175236,Yes,M,d_High School,Blue Collar,39,Commercial,11070,4,1,Pickup,yes,0,0,No,1,,Highly Urban/ Urban
0,,0,45,0,9,109237,No,0,No,F,b_Masters,Lawyer,17,Private,26900,7,1,SUV,no,0,0,No,0,19,Highly Urban/ Urban
0,,0,28,2,8,28472,Yes,0,No,M,d_High School,Blue Collar,59,Commercial,15920,3,1,Minivan,yes,0,0,No,2,9,Highly Rural/ Rural
0,,0,41,3,15,66059,Yes,220811,No,M,c_Bachelors,Blue Collar,29,Private,12420,4,3,Minivan,yes,0,0,No,3,10,Highly Urban/ Urban
0,,2,51,2,14,62894,No,228994,Yes,F,c_Bachelors,Clerical,84,Private,5990,17,2,Sports Car,no,0,0,Yes,0,10,Highly Rural/ Rural
1,10839,0,33,1,7,157263,Yes,0,No,F,a_PhD,Lawyer,60,Private,36480,1,1,Sports Car,no,4597,2,No,0,16,Highly Urban/ Urban
0,,0,53,0,15,73099,No,212950,Yes,F,d_High School,Blue Collar,57,Commercial,30290,4,2,Pickup,no,1046,1,No,0,5,Highly Urban/ Urban
0,,0,44,3,12,69620,No,239561,Yes,M,b_Masters,Manager,37,Commercial,22830,9,2,Panel Truck,yes,0,0,No,0,15,Highly Urban/ Urban
0,,0,53,0,12,45387,No,162853,Yes,F,b_Masters,Lawyer,38,Private,6040,7,1,SUV,no,0,0,No,0,13,Highly Urban/ Urban
0,,0,46,0,9,57049,No,211508,No,M,c_Bachelors,Manager,15,Commercial,11800,7,1,Pickup,yes,1437,2,No,0,11,Highly Urban/ Urban
0,,1,39,2,14,45261,Yes,0,No,M,d_High School,Blue Collar,13,Private,12910,7,2,Minivan,no,521,1,No,0,1,Highly Urban/ Urban
0,,0,33,3,12,14369,No,142305,Yes,F,e_No_High School,Clerical,37,Private,6240,4,2,SUV,no,0,0,No,0,6,Highly Rural/ Rural
1,4915,0,46,0,12,54945,No,,Yes,F,d_High School,Professional,40,Private,12220,1,1,SUV,no,6780,1,No,0,10,Highly Urban/ Urban
1,1133,0,48,0,12,49551,No,218904,Yes,F,c_Bachelors,Professional,24,Private,6300,1,3,SUV,no,6130,1,No,2,,Highly Urban/ Urban
1,1985,0,36,0,9,64947,No,0,No,F,d_High School,Blue Collar,26,Commercial,34920,1,2,Minivan,no,0,0,Yes,0,1,Highly Urban/ Urban
0,,0,66,1,14,45876,No,207530,Yes,F,d_High School,Professional,30,Private,18880,3,3,Sports Car,no,28353,1,No,7,1,Highly Urban/ Urban
0,,0,38,0,10,95197,No,281124,Yes,F,c_Bachelors,Manager,46,Private,20730,9,1,SUV,no,0,0,No,0,11,Highly Urban/ Urban
0,,0,38,0,8,83304,No,234493,Yes,F,c_Bachelors,Clerical,10,Private,16160,1,2,SUV,no,20337,2,Yes,3,17,Highly Urban/ Urban
0,,0,43,2,7,5352,No,60715,Yes,F,d_High School,Home Maker,61,Private,8560,1,1,SUV,no,0,0,No,0,10,Highly Rural/ Rural
1,5255,0,28,3,0,0,Yes,0,No,F,d_High School,Student,39,Private,4300,7,1,Sports Car,no,0,0,No,0,6,Highly Urban/ Urban
0,,1,42,2,15,22155,No,127123,Yes,M,b_Masters,Lawyer,30,Private,7920,6,2,Pickup,yes,0,0,No,0,15,Highly Urban/ Urban
0,,0,48,0,0,0,No,137446,No,F,c_Bachelors,Home Maker,51,Private,17630,1,1,SUV,no,35519,1,Yes,7,11,Highly Urban/ Urban
0,,0,53,0,14,33303,No,161352,Yes,F,d_High School,Manager,48,Private,29770,6,2,SUV,no,0,0,Yes,2,1,Highly Urban/ Urban
0,,0,33,4,,41583,No,145551,Yes,F,b_Masters,Home Maker,32,Private,18820,17,2,Pickup,no,0,0,No,1,20,Highly Rural/ Rural
0,,0,48,0,12,27700,No,117400,Yes,F,d_High School,Clerical,35,Private,15070,7,2,SUV,no,34237,1,No,0,7,Highly Urban/ Urban
0,,0,59,2,16,35192,No,165343,Yes,F,d_High School,Clerical,30,Private,10920,7,2,SUV,no,0,0,No,0,3,Highly Rural/ Rural
1,1766,0,46,0,,31177,No,150102,No,M,d_High School,Professional,41,Commercial,25420,9,1,Panel Truck,no,0,0,No,1,1,Highly Urban/ Urban
0,,0,46,0,12,35852,No,142093,Yes,M,e_No_High School,Blue Collar,21,Commercial,21100,1,2,Van,no,11214,3,No,0,,Highly Urban/ Urban
1,5662,2,42,3,14,36463,No,184091,Yes,F,e_No_High School,Blue Collar,10,Commercial,5700,6,1,SUV,no,0,0,No,5,9,Highly Urban/ Urban
0,,0,39,3,14,51524,Yes,0,No,F,e_No_High School,Blue Collar,41,Private,20840,3,4,SUV,no,0,0,No,1,1,Highly Urban/ Urban
0,,1,43,1,11,71724,Yes,0,No,F,d_High School,Blue Collar,36,Commercial,29900,6,1,Pickup,no,0,0,No,2,1,Highly Rural/ Rural
0,,0,43,0,14,35647,No,194536,Yes,F,d_High School,Clerical,58,Private,14250,1,1,SUV,no,0,0,No,0,8,Highly Rural/ Rural
0,,0,44,0,12,55241,No,205177,No,M,d_High School,Blue Collar,40,Commercial,14200,1,2,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
0,,0,42,0,11,74223,No,0,No,M,c_Bachelors,Blue Collar,5,Commercial,13120,1,2,Minivan,yes,35061,2,Yes,2,10,Highly Urban/ Urban
0,,0,36,2,12,115701,Yes,0,No,M,c_Bachelors,Manager,37,Commercial,33210,7,2,Panel Truck,yes,0,0,No,0,1,Highly Urban/ Urban
0,,0,51,0,0,0,No,91232,No,F,c_Bachelors,Home Maker,25,Private,1500,1,1,SUV,no,0,0,No,2,1,Highly Rural/ Rural
1,4408,0,52,0,11,54983,No,223545,Yes,M,b_Masters,,24,Commercial,12200,2,1,Pickup,yes,9093,3,No,7,12,Highly Urban/ Urban
0,,0,49,0,9,117252,No,0,No,M,b_Masters,Lawyer,28,Private,18130,11,1,Van,yes,6494,2,No,0,15,Highly Urban/ Urban
0,,0,45,0,4,83111,No,237263,No,M,c_Bachelors,Manager,31,Commercial,18610,7,3,Van,no,0,0,No,2,7,Highly Urban/ Urban
0,,0,56,0,12,43369,No,197904,No,F,b_Masters,Lawyer,20,Private,32050,6,3,Minivan,no,0,0,No,0,18,Highly Urban/ Urban
1,3760,0,26,1,9,73655,Yes,0,No,F,c_Bachelors,Professional,44,Commercial,9150,13,3,SUV,no,7303,2,No,5,7,Highly Urban/ Urban
0,,0,45,0,11,53896,No,221275,No,F,d_High School,Manager,41,Private,11570,3,1,Minivan,no,0,0,Yes,2,3,Highly Urban/ Urban
1,5301,1,38,2,13,46061,Yes,0,No,F,c_Bachelors,Clerical,39,Private,18910,1,1,Minivan,no,0,0,No,3,9,Highly Urban/ Urban
0,,0,40,0,8,31678,No,0,No,M,e_No_High School,Blue Collar,23,Private,18210,1,1,Van,yes,34196,1,No,5,1,Highly Urban/ Urban
0,,0,49,0,10,73251,No,0,No,M,d_High School,Blue Collar,48,Commercial,15480,1,1,Minivan,yes,0,0,No,1,8,Highly Rural/ Rural
0,,0,52,0,14,107636,No,327629,Yes,F,b_Masters,Professional,68,Private,16820,1,2,SUV,no,0,0,No,0,21,Highly Rural/ Rural
0,,0,46,0,14,50206,No,176373,Yes,F,d_High School,Blue Collar,22,Commercial,25400,6,2,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
0,,0,55,0,13,113228,No,279318,No,M,c_Bachelors,Professional,45,Private,15390,10,2,Minivan,yes,23290,1,No,2,16,Highly Urban/ Urban
0,,0,36,1,,,No,194096,Yes,F,e_No_High School,Blue Collar,50,Private,14730,6,1,SUV,no,0,0,No,1,7,Highly Urban/ Urban
0,,0,41,0,0,0,No,0,Yes,F,d_High School,Home Maker,49,Private,5700,7,2,SUV,no,50807,3,No,0,7,Highly Rural/ Rural
0,,0,33,1,15,72731,No,286643,Yes,F,c_Bachelors,Manager,28,Private,12070,7,3,Minivan,no,0,0,No,1,10,Highly Urban/ Urban
0,,0,48,0,12,,No,247618,No,M,c_Bachelors,Manager,31,Private,14040,9,1,Minivan,no,1065,2,No,1,8,Highly Urban/ Urban
1,4623,2,40,3,14,58914,Yes,0,No,M,c_Bachelors,Professional,14,Private,16220,1,1,Van,no,9216,2,No,2,10,Highly Urban/ Urban
0,,0,50,0,15,187677,No,487230,Yes,F,c_Bachelors,Professional,5,Private,42190,10,1,Minivan,no,0,0,No,0,11,Highly Urban/ Urban
0,,0,43,0,10,57018,No,233968,Yes,F,c_Bachelors,Blue Collar,72,Commercial,13540,3,1,SUV,no,0,0,No,2,14,Highly Rural/ Rural
0,,0,43,0,12,115221,No,308209,Yes,F,b_Masters,Lawyer,36,Private,5800,15,2,Sports Car,no,0,0,No,5,,Highly Urban/ Urban
0,,0,43,2,16,63612,No,220417,Yes,M,d_High School,Clerical,57,Private,12160,10,1,Minivan,no,0,0,No,1,1,Highly Rural/ Rural
1,3565,0,50,0,9,72665,No,,No,M,b_Masters,,25,Commercial,36440,1,1,Panel Truck,no,7292,1,No,10,14,Highly Urban/ Urban
0,,0,49,0,8,57775,No,176758,Yes,F,d_High School,Manager,35,Private,15680,7,1,Minivan,no,0,0,No,0,10,Highly Urban/ Urban
0,,0,36,0,12,44977,No,119567,Yes,M,d_High School,Blue Collar,36,Commercial,14780,4,1,Minivan,no,0,0,No,0,1,Highly Rural/ Rural
0,,0,58,0,15,3256,No,122217,Yes,F,e_No_High School,Home Maker,60,Private,18400,1,3,Minivan,no,0,0,No,1,1,Highly Rural/ Rural
1,3985,1,40,3,,39753,No,181338,Yes,F,d_High School,Clerical,50,Private,24820,7,2,SUV,no,0,0,No,0,13,Highly Urban/ Urban
0,,0,47,0,13,128481,No,0,No,M,c_Bachelors,Professional,40,Private,14350,1,2,Minivan,yes,0,0,No,2,12,Highly Urban/ Urban
0,,0,42,0,12,109098,No,268393,Yes,F,d_High School,Blue Collar,44,Commercial,1500,4,4,SUV,no,1015,2,No,0,4,Highly Urban/ Urban
0,,0,55,0,12,133966,No,342198,Yes,F,a_PhD,Lawyer,8,Private,29170,6,1,SUV,no,34507,2,Yes,0,13,Highly Urban/ Urban
0,,0,26,2,9,117984,Yes,0,No,F,c_Bachelors,Blue Collar,65,Commercial,26330,3,2,Pickup,no,5756,2,No,11,8,Highly Urban/ Urban
0,,0,44,1,,48088,No,131782,Yes,F,d_High School,Blue Collar,31,Commercial,10710,1,2,Minivan,no,3647,2,No,2,6,Highly Urban/ Urban
0,,0,28,3,0,0,No,0,Yes,F,e_No_High School,Student,29,Private,1500,4,1,SUV,no,3202,2,No,8,5,Highly Urban/ Urban
0,,0,47,0,14,58568,No,217714,Yes,F,b_Masters,Lawyer,34,Private,12060,10,1,SUV,no,873,3,No,4,17,Highly Urban/ Urban
0,,0,56,0,15,72381,No,220541,Yes,M,d_High School,Manager,24,Commercial,28780,10,1,Panel Truck,yes,6857,4,No,0,1,Highly Urban/ Urban
0,,0,41,0,,78834,No,200776,Yes,M,b_Masters,Manager,15,Commercial,29830,1,1,Panel Truck,yes,9980,1,No,4,17,Highly Urban/ Urban
0,,1,44,2,11,88492,Yes,0,No,F,c_Bachelors,Professional,8,Private,14750,4,1,Minivan,no,0,0,Yes,0,8,Highly Urban/ Urban
0,,0,58,0,13,43618,No,179025,Yes,M,c_Bachelors,Manager,44,Commercial,20930,7,1,Van,yes,2723,3,No,2,8,Highly Urban/ Urban
1,5717,1,42,2,11,14166,Yes,0,No,F,e_No_High School,Student,36,Private,23280,6,1,Minivan,no,0,0,No,3,5,Highly Urban/ Urban
0,,0,54,0,5,132687,No,0,No,F,a_PhD,Doctor,55,Private,20170,10,1,SUV,no,0,0,No,0,18,Highly Urban/ Urban
0,,0,33,3,9,,No,185796,Yes,M,d_High School,Blue Collar,45,Commercial,9120,10,4,Pickup,yes,0,0,Yes,1,7,Highly Urban/ Urban
1,3763,0,54,0,15,64548,No,251584,Yes,M,e_No_High School,Blue Collar,32,Commercial,16360,1,2,Van,yes,26281,1,Yes,3,1,Highly Urban/ Urban
0,,0,50,0,16,90015,No,265405,Yes,F,b_Masters,Professional,49,Private,15500,10,2,Minivan,no,9082,1,No,0,15,Highly Urban/ Urban
1,3350,0,51,0,6,72037,No,0,No,M,d_High School,Manager,13,Commercial,19980,4,3,Van,yes,0,0,No,0,8,Highly Urban/ Urban
1,755,0,30,0,10,27803,No,0,No,F,d_High School,Clerical,41,Private,4500,1,2,SUV,no,6351,4,No,0,8,Highly Urban/ Urban
0,,0,59,0,13,82231,No,270288,Yes,F,d_High School,Professional,58,Private,15620,1,1,SUV,no,2978,2,Yes,4,1,Highly Urban/ Urban
0,,0,56,3,0,0,No,0,Yes,F,d_High School,Student,39,Commercial,7420,6,2,SUV,no,5442,2,No,9,8,Highly Rural/ Rural
0,,0,31,2,12,112632,No,298529,Yes,M,d_High School,Professional,57,Private,16550,6,2,Van,yes,0,0,No,0,1,Highly Rural/ Rural
1,11193,0,50,0,0,0,No,113870,Yes,F,d_High School,Home Maker,12,Commercial,29200,7,3,Van,no,0,0,Yes,6,,Highly Urban/ Urban
0,,0,55,0,0,0,No,0,Yes,M,c_Bachelors,Student,43,Private,5630,7,1,Pickup,no,0,0,No,0,10,Highly Rural/ Rural
1,5050,1,41,3,0,0,No,65293,Yes,F,d_High School,Home Maker,42,Private,1500,7,2,Sports Car,no,19425,1,Yes,1,1,Highly Urban/ Urban
0,,0,32,1,0,0,No,0,Yes,M,e_No_High School,Student,48,Private,12500,7,1,Minivan,no,3983,1,No,3,1,Highly Urban/ Urban
0,,0,39,0,,0,No,80529,Yes,M,c_Bachelors,Home Maker,52,Private,18420,6,1,Minivan,yes,8698,1,No,4,7,Highly Urban/ Urban
1,4025,0,51,0,0,0,No,100658,Yes,F,d_High School,Home Maker,30,Private,11750,7,1,Sports Car,no,0,0,No,3,,Highly Urban/ Urban
0,,0,36,0,3,17884,No,114530,Yes,M,e_No_High School,Blue Collar,37,Commercial,12800,13,4,Minivan,no,0,0,No,1,1,Highly Rural/ Rural
0,,0,49,0,0,0,No,79913,Yes,F,a_PhD,Home Maker,29,Private,18110,7,5,SUV,no,0,0,No,1,1,Highly Urban/ Urban
1,5640,0,,3,12,16227,No,,Yes,M,d_High School,Student,39,Private,20770,1,1,Van,yes,0,0,No,6,1,Highly Urban/ Urban
0,,0,62,0,13,69874,No,0,No,M,b_Masters,Manager,32,Commercial,26910,3,2,Pickup,no,6494,1,No,0,18,Highly Urban/ Urban
0,,0,59,0,10,19661,No,145506,Yes,F,c_Bachelors,Home Maker,38,Private,11550,6,1,Sports Car,no,4780,1,No,1,10,Highly Urban/ Urban
0,,0,60,0,15,,No,330229,Yes,F,c_Bachelors,Manager,39,Private,16780,10,1,Sports Car,no,4500,2,No,3,13,Highly Urban/ Urban
0,,1,56,2,9,83464,No,316391,Yes,F,d_High School,Manager,37,Private,12740,10,1,SUV,no,29423,2,Yes,3,1,Highly Urban/ Urban
0,,0,41,0,8,192839,No,0,No,M,a_PhD,Doctor,27,Private,7340,10,2,Minivan,yes,0,0,No,0,,Highly Urban/ Urban
1,744,0,35,2,11,55637,Yes,0,No,F,d_High School,Blue Collar,38,Commercial,22780,1,2,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
1,3354,0,47,0,12,47235,No,205801,No,M,d_High School,Blue Collar,27,Private,10920,4,1,Pickup,yes,9933,2,No,2,1,Highly Urban/ Urban
0,,0,52,0,14,57134,No,,Yes,M,d_High School,Professional,41,Commercial,8430,4,4,Pickup,yes,0,0,No,2,8,Highly Urban/ Urban
1,5967,0,36,0,9,110873,No,0,No,M,c_Bachelors,Blue Collar,50,Commercial,24730,6,1,Panel Truck,yes,0,0,No,0,7,Highly Urban/ Urban
1,7843,0,62,0,12,34033,No,0,No,M,d_High School,Blue Collar,43,Commercial,19010,10,3,Van,no,0,0,Yes,5,1,Highly Urban/ Urban
1,3625,1,41,1,13,94116,Yes,263819,No,M,b_Masters,Professional,18,Commercial,24650,15,2,Panel Truck,no,0,0,No,3,14,Highly Urban/ Urban
0,,0,45,0,10,79627,No,252862,Yes,M,c_Bachelors,Manager,31,Private,5900,1,3,Pickup,no,0,0,No,0,10,Highly Urban/ Urban
0,,0,41,1,13,45685,Yes,0,No,M,c_Bachelors,Clerical,7,Private,8830,3,2,Minivan,no,2516,2,No,4,9,Highly Urban/ Urban
0,,0,41,2,15,92259,No,252944,Yes,M,b_Masters,Lawyer,16,Private,17050,1,2,Van,yes,0,0,No,4,14,Highly Urban/ Urban
0,,0,39,0,0,0,No,99587,No,F,c_Bachelors,Home Maker,103,Private,5400,1,1,SUV,no,0,0,No,0,13,Highly Rural/ Rural
1,1125,0,55,0,10,54877,No,0,No,M,c_Bachelors,Clerical,37,Commercial,42170,6,1,Panel Truck,yes,0,0,Yes,0,8,Highly Urban/ Urban
0,,0,52,0,13,143242,No,364925,No,M,c_Bachelors,Manager,43,Commercial,23340,1,1,Panel Truck,yes,4749,3,No,5,10,Highly Urban/ Urban
0,,0,62,0,9,133130,No,342825,Yes,M,b_Masters,,20,Commercial,33010,6,1,Pickup,yes,0,0,No,0,20,Highly Urban/ Urban
0,,0,63,0,14,51046,No,192050,Yes,F,a_PhD,Doctor,18,Private,7800,1,1,Sports Car,no,14357,3,No,5,1,Highly Urban/ Urban
0,,0,54,0,,30388,No,0,No,M,b_Masters,Lawyer,24,Private,16580,4,1,Van,no,27130,2,No,0,13,Highly Urban/ Urban
0,,0,48,0,7,55050,No,223804,No,F,c_Bachelors,Professional,31,Private,6300,1,1,SUV,no,0,0,No,1,,Highly Urban/ Urban
0,,0,50,0,12,131876,No,370511,Yes,F,d_High School,Blue Collar,67,Commercial,24710,4,3,Sports Car,no,0,0,No,0,8,Highly Rural/ Rural
0,,0,56,0,13,112246,No,0,No,M,a_PhD,Lawyer,10,Private,17180,7,2,Van,no,0,0,No,2,10,Highly Urban/ Urban
0,,0,48,0,14,113886,No,0,No,M,a_PhD,Doctor,16,Private,29730,7,2,Minivan,no,7196,3,No,0,15,Highly Urban/ Urban
0,,0,42,1,11,200928,No,513817,Yes,M,a_PhD,Manager,13,Private,29950,1,4,Minivan,yes,0,0,No,0,,Highly Urban/ Urban
0,,0,48,0,14,96274,No,282904,Yes,F,b_Masters,Lawyer,36,Private,11130,6,2,SUV,no,8250,1,No,5,14,Highly Urban/ Urban
0,,0,53,0,0,0,No,94471,Yes,F,a_PhD,Home Maker,33,Private,6800,1,1,Sports Car,no,1909,1,No,3,14,Highly Urban/ Urban
0,,0,33,4,14,40205,Yes,0,No,F,d_High School,Clerical,33,Private,5750,4,1,Sports Car,no,3226,1,No,4,9,Highly Rural/ Rural
0,,0,42,0,12,15307,No,123562,Yes,M,d_High School,Clerical,53,Private,10880,1,2,Pickup,yes,0,0,No,2,8,Highly Rural/ Rural
0,,0,55,0,0,0,No,0,Yes,F,d_High School,Student,44,Private,16160,1,1,SUV,no,0,0,No,1,9,Highly Rural/ Rural
0,,0,50,0,12,,No,0,No,F,b_Masters,Lawyer,13,Private,32470,1,1,Sports Car,no,0,0,No,0,16,Highly Urban/ Urban
0,,0,39,2,8,71950,No,228455,Yes,F,d_High School,Blue Collar,21,Commercial,3070,3,2,SUV,no,13656,1,No,2,11,Highly Urban/ Urban
0,,0,51,0,11,122934,No,0,No,F,c_Bachelors,Professional,38,Private,28140,1,1,Minivan,no,4992,2,No,6,11,Highly Urban/ Urban
0,,0,40,1,0,0,No,104638,Yes,F,c_Bachelors,Home Maker,58,Private,7180,1,1,SUV,no,1035,3,No,4,12,Highly Urban/ Urban
0,,2,38,3,13,117219,No,337915,Yes,F,c_Bachelors,Professional,47,Private,17950,6,1,SUV,no,0,0,No,3,9,Highly Urban/ Urban
0,,0,46,0,,175117,No,,No,M,b_Masters,Manager,28,Commercial,28950,4,2,Panel Truck,yes,0,0,No,0,16,Highly Urban/ Urban
0,,0,52,0,13,255823,No,0,No,F,a_PhD,Manager,54,Commercial,47030,6,1,Panel Truck,no,0,0,No,3,,Highly Urban/ Urban
0,,0,31,1,13,65048,No,212535,Yes,F,c_Bachelors,Blue Collar,21,Commercial,13240,13,1,Minivan,no,18524,1,Yes,1,5,Highly Urban/ Urban
0,,0,28,0,11,,No,0,No,F,d_High School,Blue Collar,38,Commercial,22470,1,3,Minivan,no,1263,1,No,2,7,Highly Urban/ Urban
0,,0,48,0,7,114869,No,300454,No,F,b_Masters,Lawyer,5,Private,6300,4,1,SUV,no,5933,2,No,0,15,Highly Urban/ Urban
0,,0,50,0,,37546,No,153612,Yes,F,d_High School,Manager,41,Private,6120,7,2,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
0,,0,48,0,13,,No,218410,Yes,M,c_Bachelors,Professional,26,Private,8380,1,1,Pickup,no,0,0,No,0,13,Highly Urban/ Urban
