,TARGET_CLM_FLAG,TARGET_CLM_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,NPOLICY,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,y_EDU_4,y_EDU_3,y_EDU_2,y_EDU_1,z_PARENT1_Yes,z_MSTATUS_Yes,z_SEX_M,z_CAR_USE_Private,z_CAR_TYPE_Panel Truck,z_CAR_TYPE_Pickup,z_CAR_TYPE_SUV,z_CAR_TYPE_Sports Car,z_CAR_TYPE_Van,z_RED_CAR_yes,z_REVOKED_Yes,z_URBANICITY_Highly Urban/ Urban,z_IMP_JOB_Clerical,z_IMP_JOB_Doctor,z_IMP_JOB_Home Maker,z_IMP_JOB_Lawyer,z_IMP_JOB_MISSING,z_IMP_JOB_Manager,z_IMP_JOB_Professional,z_IMP_JOB_Student,M_AGE,IMP_AGE,M_YOJ,IMP_YOJ,M_INCOME,IMP_INCOME,M_HOME_VAL,IMP_HOME_VAL,M_CAR_AGE,IMP_CAR_AGE
10,0,,1,39.0,2,13.0,178171.0,38,10290,10,1,1459,2,5,13.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.0,0,13.0,0,48887.0,0,178171.0,0,13.0
11,0,,0,43.0,0,12.0,299424.0,52,21400,6,1,11095,1,0,19.0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,43.0,0,12.0,0,94641.0,0,299424.0,0,19.0
12,0,,0,49.0,0,5.0,163444.0,30,15880,1,3,0,0,1,1.0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,49.0,0,5.0,0,49244.0,0,163444.0,0,1.0
13,0,,0,40.0,1,12.0,0.0,47,12090,1,1,0,0,0,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.0,0,12.0,0,41002.0,0,0.0,0,1.0
14,0,,0,60.0,0,15.0,,6,20570,7,2,1012,2,2,13.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60.0,0,15.0,0,148887.0,1,160661.0,0,13.0
15,1,3332.0,0,35.0,1,13.0,0.0,31,19700,5,1,7276,2,7,13.0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,35.0,0,13.0,0,72167.0,0,0.0,0,13.0
16,1,6315.0,0,47.0,0,14.0,232693.0,44,6200,1,1,8352,2,10,10.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.0,0,14.0,0,52891.0,0,232693.0,0,10.0
17,1,5273.0,1,43.0,3,15.0,205645.0,30,33110,1,1,610,4,0,4.0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,43.0,0,15.0,0,39564.0,0,205645.0,0,4.0
18,0,,0,51.0,0,14.0,0.0,37,14770,6,1,30760,3,5,10.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,51.0,0,14.0,0,81743.0,0,0.0,0,10.0
19,1,1911.0,0,45.0,1,12.0,301304.0,37,17130,7,1,0,0,0,14.0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,45.0,0,12.0,0,91347.0,0,301304.0,0,14.0
20,0,,0,33.0,1,9.0,0.0,12,9490,4,1,0,0,0,15.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,33.0,0,9.0,0,46867.0,0,0.0,0,15.0
21,1,4028.0,0,26.0,0,8.0,0.0,28,20920,3,4,6224,1,1,8.0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,26.0,0,8.0,0,53244.0,0,0.0,0,8.0
22,1,3886.0,0,31.0,1,10.0,0.0,46,5200,1,1,3068,2,5,1.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,31.0,0,10.0,0,8247.0,0,0.0,0,1.0
23,0,,0,48.0,0,10.0,220207.0,38,15570,11,2,0,0,2,18.0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,48.0,0,10.0,0,83419.0,0,220207.0,0,18.0
24,1,5094.0,0,28.0,3,0.0,0.0,45,4950,1,1,8438,1,4,6.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28.0,0,0.0,0,0.0,0,0.0,0,6.0
25,0,,0,46.0,0,,211550.0,51,20340,1,2,7813,3,3,10.0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,46.0,1,11.0,0,44041.0,0,211550.0,0,10.0
26,0,,0,50.0,0,13.0,0.0,36,13790,6,1,0,0,1,10.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0,0,13.0,0,62626.0,0,0.0,0,10.0
27,0,,0,35.0,3,0.0,0.0,15,5000,1,3,3969,2,1,,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,35.0,0,0.0,1,360.0,0,0.0,1,8.0
28,1,8714.0,0,38.0,2,14.0,189247.0,22,5300,10,1,5892,2,0,17.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,38.0,0,14.0,0,57684.0,0,189247.0,0,17.0
29,0,,0,48.0,0,11.0,276038.0,33,28610,6,1,6936,2,2,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48.0,0,11.0,0,105299.0,0,276038.0,0,1.0
30,0,,0,37.0,0,0.0,105758.0,19,20060,1,2,0,0,0,1.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,37.0,0,0.0,0,0.0,0,105758.0,0,1.0
31,1,7055.0,0,51.0,0,6.0,0.0,49,12820,6,1,0,0,0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51.0,0,6.0,0,50049.0,0,0.0,0,1.0
32,0,,1,43.0,2,13.0,244354.0,33,21600,1,1,0,0,0,3.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,43.0,0,13.0,0,82356.0,0,244354.0,0,3.0
33,0,,1,44.0,3,15.0,265815.0,43,12300,6,1,0,0,0,5.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44.0,0,15.0,0,74483.0,0,265815.0,0,5.0
34,0,,0,46.0,0,10.0,365826.0,49,22700,13,2,0,0,2,10.0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46.0,0,10.0,0,140919.0,0,365826.0,0,10.0
35,0,,0,40.0,0,13.0,133568.0,24,12190,4,1,0,0,0,1.0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,40.0,0,13.0,0,32131.0,0,133568.0,0,1.0
36,1,5162.0,0,39.0,1,,0.0,34,26550,7,2,8673,3,4,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.0,1,11.0,0,18362.0,0,0.0,0,1.0
37,0,,0,51.0,0,9.0,312871.0,59,12770,6,1,0,0,0,9.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.0,0,9.0,0,112674.0,0,312871.0,0,9.0
38,1,1593.0,0,48.0,0,12.0,,31,12090,6,1,10024,2,2,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48.0,0,12.0,0,60281.0,1,160661.0,0,1.0
39,0,,0,35.0,0,6.0,152065.0,41,11290,1,4,0,0,0,6.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,35.0,0,6.0,1,30799.0,0,152065.0,0,6.0
40,1,4002.0,0,48.0,0,12.0,175236.0,39,11070,4,1,0,0,1,,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48.0,0,12.0,1,53694.0,0,175236.0,1,8.0
41,0,,0,45.0,0,9.0,0.0,17,26900,7,1,0,0,0,19.0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,45.0,0,9.0,0,109237.0,0,0.0,0,19.0
42,0,,0,28.0,2,8.0,0.0,59,15920,3,1,0,0,2,9.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.0,0,8.0,0,28472.0,0,0.0,0,9.0
43,0,,0,41.0,3,15.0,220811.0,29,12420,4,3,0,0,3,10.0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,41.0,0,15.0,0,66059.0,0,220811.0,0,10.0
44,0,,2,51.0,2,14.0,228994.0,84,5990,17,2,0,0,0,10.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,51.0,0,14.0,0,62894.0,0,228994.0,0,10.0
45,1,10839.0,0,33.0,1,7.0,0.0,60,36480,1,1,4597,2,0,16.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,33.0,0,7.0,0,157263.0,0,0.0,0,16.0
46,0,,0,53.0,0,15.0,212950.0,57,30290,4,2,1046,1,0,5.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.0,0,15.0,0,73099.0,0,212950.0,0,5.0
47,0,,0,44.0,3,12.0,239561.0,37,22830,9,2,0,0,0,15.0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,44.0,0,12.0,0,69620.0,0,239561.0,0,15.0
48,0,,0,53.0,0,12.0,162853.0,38,6040,7,1,0,0,0,13.0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,53.0,0,12.0,0,45387.0,0,162853.0,0,13.0
49,0,,0,46.0,0,9.0,211508.0,15,11800,7,1,1437,2,0,11.0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,46.0,0,9.0,0,57049.0,0,211508.0,0,11.0
50,0,,1,39.0,2,14.0,0.0,13,12910,7,2,521,1,0,1.0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.0,0,14.0,0,45261.0,0,0.0,0,1.0
51,0,,0,33.0,3,12.0,142305.0,37,6240,4,2,0,0,0,6.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.0,0,12.0,0,14369.0,0,142305.0,0,6.0
52,1,4915.0,0,46.0,0,12.0,,40,12220,1,1,6780,1,0,10.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,46.0,0,12.0,0,54945.0,1,160661.0,0,10.0
53,1,1133.0,0,48.0,0,12.0,218904.0,24,6300,1,3,6130,1,2,,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48.0,0,12.0,0,49551.0,0,218904.0,1,8.0
54,1,1985.0,0,36.0,0,9.0,0.0,26,34920,1,2,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,36.0,0,9.0,0,64947.0,0,0.0,0,1.0
55,0,,0,66.0,1,14.0,207530.0,30,18880,3,3,28353,1,7,1.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,66.0,0,14.0,0,45876.0,0,207530.0,0,1.0
56,0,,0,38.0,0,10.0,281124.0,46,20730,9,1,0,0,0,11.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38.0,0,10.0,0,95197.0,0,281124.0,0,11.0
57,0,,0,38.0,0,8.0,234493.0,10,16160,1,2,20337,2,3,17.0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,38.0,0,8.0,0,83304.0,0,234493.0,0,17.0
58,0,,0,43.0,2,7.0,60715.0,61,8560,1,1,0,0,0,10.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.0,0,7.0,0,5352.0,0,60715.0,0,10.0
59,1,5255.0,0,28.0,3,0.0,0.0,39,4300,7,1,0,0,0,6.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,28.0,0,0.0,0,0.0,0,0.0,0,6.0
60,0,,1,42.0,2,15.0,127123.0,30,7920,6,2,0,0,0,15.0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,42.0,0,15.0,0,22155.0,0,127123.0,0,15.0
61,0,,0,48.0,0,0.0,137446.0,51,17630,1,1,35519,1,7,11.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,48.0,0,0.0,0,0.0,0,137446.0,0,11.0
62,0,,0,53.0,0,14.0,161352.0,48,29770,6,2,0,0,2,1.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,53.0,0,14.0,0,33303.0,0,161352.0,0,1.0
63,0,,0,33.0,4,,145551.0,32,18820,17,2,0,0,1,20.0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.0,1,11.0,0,41583.0,0,145551.0,0,20.0
64,0,,0,48.0,0,12.0,117400.0,35,15070,7,2,34237,1,0,7.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,48.0,0,12.0,0,27700.0,0,117400.0,0,7.0
65,0,,0,59.0,2,16.0,165343.0,30,10920,7,2,0,0,0,3.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59.0,0,16.0,0,35192.0,0,165343.0,0,3.0
66,1,1766.0,0,46.0,0,,150102.0,41,25420,9,1,0,0,1,1.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,46.0,1,11.0,0,31177.0,0,150102.0,0,1.0
67,0,,0,46.0,0,12.0,142093.0,21,21100,1,2,11214,3,0,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,46.0,0,12.0,0,35852.0,0,142093.0,1,8.0
68,1,5662.0,2,42.0,3,14.0,184091.0,10,5700,6,1,0,0,5,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,14.0,0,36463.0,0,184091.0,0,9.0
69,0,,0,39.0,3,14.0,0.0,41,20840,3,4,0,0,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.0,0,14.0,0,51524.0,0,0.0,0,1.0
70,0,,1,43.0,1,11.0,0.0,36,29900,6,1,0,0,2,1.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,11.0,0,71724.0,0,0.0,0,1.0
71,0,,0,43.0,0,14.0,194536.0,58,14250,1,1,0,0,0,8.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.0,0,14.0,0,35647.0,0,194536.0,0,8.0
72,0,,0,44.0,0,12.0,205177.0,40,14200,1,2,0,0,0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,12.0,0,55241.0,0,205177.0,0,1.0
73,0,,0,42.0,0,11.0,0.0,5,13120,1,2,35061,2,2,10.0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,42.0,0,11.0,0,74223.0,0,0.0,0,10.0
74,0,,0,36.0,2,12.0,0.0,37,33210,7,2,0,0,0,1.0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,36.0,0,12.0,0,115701.0,0,0.0,0,1.0
75,0,,0,51.0,0,0.0,91232.0,25,1500,1,1,0,0,2,1.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51.0,0,0.0,0,0.0,0,91232.0,0,1.0
76,1,4408.0,0,52.0,0,11.0,223545.0,24,12200,2,1,9093,3,7,12.0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,52.0,0,11.0,0,54983.0,0,223545.0,0,12.0
77,0,,0,49.0,0,9.0,0.0,28,18130,11,1,6494,2,0,15.0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,49.0,0,9.0,0,117252.0,0,0.0,0,15.0
78,0,,0,45.0,0,4.0,237263.0,31,18610,7,3,0,0,2,7.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,45.0,0,4.0,0,83111.0,0,237263.0,0,7.0
79,0,,0,56.0,0,12.0,197904.0,20,32050,6,3,0,0,0,18.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,56.0,0,12.0,0,43369.0,0,197904.0,0,18.0
80,1,3760.0,0,26.0,1,9.0,0.0,44,9150,13,3,7303,2,5,7.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.0,0,9.0,0,73655.0,0,0.0,0,7.0
81,0,,0,45.0,0,11.0,221275.0,41,11570,3,1,0,0,2,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,45.0,0,11.0,0,53896.0,0,221275.0,0,3.0
82,1,5301.0,1,38.0,2,13.0,0.0,39,18910,1,1,0,0,3,9.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,38.0,0,13.0,0,46061.0,0,0.0,0,9.0
83,0,,0,40.0,0,8.0,0.0,23,18210,1,1,34196,1,5,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,40.0,0,8.0,0,31678.0,0,0.0,0,1.0
84,0,,0,49.0,0,10.0,0.0,48,15480,1,1,0,0,1,8.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49.0,0,10.0,0,73251.0,0,0.0,0,8.0
85,0,,0,52.0,0,14.0,327629.0,68,16820,1,2,0,0,0,21.0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52.0,0,14.0,0,107636.0,0,327629.0,0,21.0
86,0,,0,46.0,0,14.0,176373.0,22,25400,6,2,0,0,0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0,0,14.0,0,50206.0,0,176373.0,0,1.0
87,0,,0,55.0,0,13.0,279318.0,45,15390,10,2,23290,1,2,16.0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,55.0,0,13.0,0,113228.0,0,279318.0,0,16.0
88,0,,0,36.0,1,,194096.0,50,14730,6,1,0,0,1,7.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.0,1,11.0,1,53694.0,0,194096.0,0,7.0
89,0,,0,41.0,0,0.0,0.0,49,5700,7,2,50807,3,0,7.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41.0,0,0.0,0,0.0,0,0.0,0,7.0
90,0,,0,33.0,1,15.0,286643.0,28,12070,7,3,0,0,1,10.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33.0,0,15.0,0,72731.0,0,286643.0,0,10.0
91,0,,0,48.0,0,12.0,247618.0,31,14040,9,1,1065,2,1,8.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,48.0,0,12.0,1,78589.0,0,247618.0,0,8.0
92,1,4623.0,2,40.0,3,14.0,0.0,14,16220,1,1,9216,2,2,10.0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,40.0,0,14.0,0,58914.0,0,0.0,0,10.0
93,0,,0,50.0,0,15.0,487230.0,5,42190,10,1,0,0,0,11.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50.0,0,15.0,0,187677.0,0,487230.0,0,11.0
94,0,,0,43.0,0,10.0,233968.0,72,13540,3,1,0,0,2,14.0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,10.0,0,57018.0,0,233968.0,0,14.0
95,0,,0,43.0,0,12.0,308209.0,36,5800,15,2,0,0,5,,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,43.0,0,12.0,0,115221.0,0,308209.0,1,8.0
96,0,,0,43.0,2,16.0,220417.0,57,12160,10,1,0,0,1,1.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.0,0,16.0,0,63612.0,0,220417.0,0,1.0
97,1,3565.0,0,50.0,0,9.0,,25,36440,1,1,7292,1,10,14.0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,50.0,0,9.0,0,72665.0,1,160661.0,0,14.0
98,0,,0,49.0,0,8.0,176758.0,35,15680,7,1,0,0,0,10.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,49.0,0,8.0,0,57775.0,0,176758.0,0,10.0
99,0,,0,36.0,0,12.0,119567.0,36,14780,4,1,0,0,0,1.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,12.0,0,44977.0,0,119567.0,0,1.0
100,0,,0,58.0,0,15.0,122217.0,60,18400,1,3,0,0,1,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58.0,0,15.0,0,3256.0,0,122217.0,0,1.0
101,1,3985.0,1,40.0,3,,181338.0,50,24820,7,2,0,0,0,13.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,40.0,1,11.0,0,39753.0,0,181338.0,0,13.0
102,0,,0,47.0,0,13.0,0.0,40,14350,1,2,0,0,2,12.0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,47.0,0,13.0,0,128481.0,0,0.0,0,12.0
103,0,,0,42.0,0,12.0,268393.0,44,1500,4,4,1015,2,0,4.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,12.0,0,109098.0,0,268393.0,0,4.0
104,0,,0,55.0,0,12.0,342198.0,8,29170,6,1,34507,2,0,13.0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,55.0,0,12.0,0,133966.0,0,342198.0,0,13.0
105,0,,0,26.0,2,9.0,0.0,65,26330,3,2,5756,2,11,8.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.0,0,9.0,0,117984.0,0,0.0,0,8.0
