,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
IMP_JOB,Other,Other,Other,MISSING,Office,Other,Other,Other,Other,Sales,MISSING,Office,Other,Mgr,Other,Other,Mgr,MISSING,Other,Office
M_MORTDUE,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IMP_MORTDUE,25860.0,70053.0,13500.0,65019.0,97800.0,30548.0,48649.0,28502.0,32700.0,65019.0,22608.0,20627.0,45000.0,64536.0,71000.0,24280.0,90957.0,23030.0,28192.0,102370.0
M_VALUE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_VALUE,39025.0,68400.0,16700.0,89235.5,112000.0,40320.0,57037.0,43034.0,46740.0,62250.0,89235.5,29800.0,55000.0,87400.0,83850.0,34687.0,102600.0,89235.5,40150.0,120953.0
M_YOJ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMP_YOJ,10.5,7.0,4.0,7.0,3.0,9.0,5.0,11.0,3.0,16.0,18.0,11.0,3.0,2.5,8.0,7.0,7.0,19.0,4.5,2.0
M_DEROG,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_DEROG,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
M_DELINQ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_DELINQ,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0
M_CLAGE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_CLAGE,94.36666667,121.83333329999999,149.4666667,173.4666667,93.33333333,101.46600190000001,77.1,88.76602988,216.93333330000002,115.8,173.4666667,122.53333329999998,86.06666667,147.1333333,123.0,300.8666667,122.9,173.4666667,54.6,90.99253347
M_NINQ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_NINQ,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
M_CLNO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IMP_CLNO,9.0,14.0,10.0,20.0,14.0,8.0,17.0,8.0,12.0,13.0,20.0,9.0,25.0,24.0,16.0,8.0,22.0,20.0,16.0,13.0
M_DEBTINC,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0
IMP_DEBTINC,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,37.11361356,34.81826182,36.88489409,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,34.81826182,3.7113123,34.81826182,31.58850318
z_REASON_DebtCon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_REASON_HomeImp,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
z_JOB_Mgr,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
z_JOB_Office,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
z_JOB_Other,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0
z_JOB_ProfExe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_JOB_Sales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
z_JOB_Self,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
